ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM4_EN,ADM4_PCODE
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Ou Thum,KH01020101
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Phnum,KH01020102
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Banteay Neang,KH01020103
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Kouk Pnov,KH01020104
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Trang,KH01020105
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Pongro,KH01020106
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Kouk Tonloab,KH01020107
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Trabaek,KH01020108
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Khilek,KH01020109
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Samraong Pen,KH01020110
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Dang Run Lech,KH01020111
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Dang Run Kaeut,KH01020112
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Ou Snguot,KH01020113
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Prey Changha Lech,KH01020114
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Prey Changha Kaeut,KH01020115
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Ou Andoung Lech,KH01020116
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Ou Andoung Kandal,KH01020117
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Ou Andoung Kaeut,KH01020118
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Banteay Neang,KH010201,Kouk Kduoch,KH01020119
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Khtum Reay Lech,KH01020201
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Khtum Reay Kaeut,KH01020202
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Anlong Thngan Kaeut,KH01020203
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Anlong Thngan Lech,KH01020204
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bang Bat Lech,KH01020205
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bang Bat Kaeut,KH01020206
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bat Trang,KH01020207
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bat Trang Thum Lech,KH01020208
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bat Trang Thum Kaeut,KH01020209
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Bat Trang Touch,KH01020210
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Bat Trang,KH010202,Preaek Chik,KH01020211
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Pralay Char,KH01020301
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Rongvean Lech,KH01020302
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Rongvean Kaeut,KH01020303
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Chamnaom Lech,KH01020304
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Chamnaom Kaeut,KH01020305
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Roung Kou Daeum,KH01020306
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Roung Kou Kandal,KH01020307
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Roung Kou Chong,KH01020308
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Peam Roung Kou,KH01020309
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Ta Sal,KH01020310
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Chuor Khchas,KH01020311
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Boeng Tras,KH01020312
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Dang Trang,KH01020313
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Srae Prey,KH01020314
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Bos Tonloab,KH01020315
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Ta Bun,KH01020316
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Chamnaom,KH010203,Kouk Ponley,KH01020317
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Kouk Ballangk,KH01020401
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Ta An,KH01020402
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Pralay Chrey,KH01020403
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Cheung Chab,KH01020404
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Phat Sandaong,KH01020405
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Char Thmei,KH01020406
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Ph'av Thmei,KH01020407
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Kouk Ballangk,KH010204,Ta Sal,KH01020408
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Koy Maeng,KH01020501
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Sdei Leu,KH01020502
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Phlov Siem,KH01020503
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Ta Nong,KH01020504
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Angkar Khmau,KH01020505
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Kasang Thmei,KH01020506
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Stueng Chas,KH01020507
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Koy Maeng,KH010205,Sdei Kraom,KH01020508
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Phnum Thum Tboung,KH01020601
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Phnum Prasat,KH01020602
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Phnum Thum Cheung,KH01020603
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Chamkar Louk,KH01020604
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Phnum Thum Thmei,KH01020605
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Anlong Sdei,KH01020606
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Kouk Thlong Kaeut,KH01020607
Cambodia,KH,Banteay Meanchey,KH01,Mongkol Borei,KH0102,Ou Prasat,KH010206,Kouk Thlong Kandal,KH01020608
