ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM4_EN,ADM4_PCODE
Syrian Arab Republic,SY,Damascus,SY01,Damascus,SY0100,Damascus,SY010000,Damascus,C1001
Syrian Arab Republic,SY,Damascus,SY01,Damascus,SY0100,Damascus,SY010000,Yarmuk,C1002
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Musallamiyeh,C1003
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Esan,C1004
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Thabiyeh,C1005
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Saqlaya,C1006
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Aleppo,C1007
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Tal Shgheib,C1008
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Abtin,C1009
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Haddadin,C1010
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Tal Sheer Simaan,C1011
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Hreibel,C1012
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Wdeihi,C1013
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Hilan,C1014
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Khan tuman,C1015
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Little Kafr,C1016
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Maratet Elmosalamiyeh,C1017
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Jebel Saman,SY020000,Qarras,C1018
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Qanater,C1019
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Tuwama,C1020
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Babka,C1021
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Atareb,C1022
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Sahara,C1023
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Oweijel,C1024
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Batbu,C1025
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Abin Samaan,C1026
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Little Orm,C1027
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Tadil,C1028
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Big Orm,C1029
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Abzemo,C1030
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Sheikh Ali,C1031
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Jeineh,C1032
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Amma,C1033
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Naha,C1034
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Karmin,C1035
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Naseh Elatareb,C1036
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Taal,C1037
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Maaret Atarib,C1038
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Aleppo,C1039
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Western Kafr Jum,C1040
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Atareb,SY020001,Kafr Noran,C1041
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Rasm Eljahsh,C1042
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Aabad,C1043
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Batranah,C1044
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Eliyeh,C1045
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tabara Elksheir,C1046
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Jeb Elkhafi Simaan,C1047
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Abu Rweil,C1048
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Jeb Eleis,C1049
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Masih,C1050
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Establat,C1051
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Sayah - Sayah Thahriyeh,C1052
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Elamad Qabli,C1053
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Numaniyeh,C1054
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Tmakh Samaan,C1055
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Elhoteh,C1056
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Arjel,C1057
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tall Ed-Daman,C1058
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Hmeidi,C1059
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Hattabat Semaan,C1060
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Deir Saliba,C1061
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Hawasid - Hanuteh,C1062
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Burda,C1063
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Jrein,C1064
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Elkaramel,C1065
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Ahmar,C1066
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Big Oweinat,C1067
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Rajm Omeirat,C1068
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Um Tinet Simaan,C1069
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Sabha,C1070
Syrian Arab Republic,SY,Aleppo,SY02,Jebel Saman,SY0200,Tall Ed-daman,SY020002,Tal Aqareb,C1071
