admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3Name_en,admin3Pcode,admin4Name_en,admin4Pcode
Ukraine,UA,Lvivska,UA46,Zhydachivskyi,UA46215,Deviatnykivska,UA4621582400,Yatviahy,UA4621582404
Ukraine,UA,Poltavska,UA53,Hadiatska,UA53103,Hadiatska,UA5310300000,Hadiach,UA5310300000
Ukraine,UA,Sumska,UA59,Lypovodolynskyi,UA59232,Kalininska,UA5923281700,Halaivets,UA5923281705
Ukraine,UA,Sumska,UA59,Lypovodolynskyi,UA59232,Podilkivska,UA5923284400,Podilky,UA5923284401
Ukraine,UA,Sumska,UA59,Lypovodolynskyi,UA59232,Pidstavska,UA5923284800,Melnyky,UA5923284802
Ukraine,UA,Sumska,UA59,Lypovodolynskyi,UA59232,Kimlychanska,UA5923282200,Kimlychka,UA5923282201
Ukraine,UA,Ternopilska,UA61,Kremenetska,UA61107,Kremenetska,UA6110700000,Kremenets,UA6110700000
Ukraine,UA,Ternopilska,UA61,Berezhanska,UA61105,Berezhanska,UA6110500000,Berezhany,UA6110500000
Ukraine,UA,Kharkivska,UA63,Zmiivskyi,UA63217,Skrypaivska,UA6321784500,Mokhnach,UA6321784503
Ukraine,UA,Kharkivska,UA63,Zmiivskyi,UA63217,Zmiivska,UA6321710100,Zmiiv,UA6321710100
Ukraine,UA,Kharkivska,UA63,Pechenizkyi,UA63246,Martivska,UA6324683500,Martove,UA6324683501
Ukraine,UA,Kharkivska,UA63,Kharkivskyi,UA63251,Malorohanska,UA6325182500,Koropy,UA6325182505
Ukraine,UA,Kharkivska,UA63,Chuhuivskyi,UA63254,Lebiazka,UA6325484500,Pushkarne,UA6325484503
Ukraine,UA,Kharkivska,UA63,Chuhuivskyi,UA63254,Hrakivska,UA6325483000,Rtyshchivka,UA6325483004
Ukraine,UA,Kharkivska,UA63,Chuhuivskyi,UA63254,Chkalovska,UA6325456700,Nova Hnylytsia,UA6325456704
Ukraine,UA,Kharkivska,UA63,Kharkivskyi,UA63251,Vilkhivska,UA6325184000,Vilkhivka,UA6325184001
Ukraine,UA,Kharkivska,UA63,Chuhuivskyi,UA63254,Staropokrovska,UA6325487000,Stara Pokrovka,UA6325487001
Ukraine,UA,Kharkivska,UA63,Pechenizkyi,UA63246,Pechenizka,UA6324655100,Piatnytske,UA6324655105
Ukraine,UA,Kharkivska,UA63,Kharkivskyi,UA63251,Rohanska,UA6325158500,Rohan,UA6325158500
Ukraine,UA,Khmelnytska,UA68,Horodotskyi,UA68212,Skipchenska,UA6821287500,Skipche,UA6821287501
