Rule type,Field Name,Title,Options,Points
,,,,
calculation,singleParentHeaded,Single Parent headed HH,Solo parent,2
,,,,
calculation,pregnantOrLactating,Pregnant or lactating,Pregnant or lactating,3
,,,,
countrySpecific,Elderly ,Single Elderly/elderlies ,Elderly,3
,,,,
countrySpecific,Disabled,Disability,Severe functional limitation,3
,,,A lot of functional limitation,2
,,,Some functional limitation,2
,,,,
calculation,noOfChronicallyIll,Chronical ilnesses and health issues ,one,2
,,,two and more,3
,,,,
calculation,dependencyRatioUkr,Dependency Ratio (number of family members only),1 (mid.),2
,,,>1 (hight dep.),3
,,,,
countrySpecific,Main income,Main income,none,3
