Rule type,Field Name,Title,Options,Points
countrySpecific,Raion of origin,Raion of origin,Bakhchysaraiskyi,198
,,,Bilohirskyi,198
,,,Kurmanskyi,198
,,,Perekopskyi,198
,,,Kerchynskyi,198
,,,Dzhankoiskyi,198
,,,Feodosiiskyi,198
,,,Simferopolskyi,198
,,,Yaltynskyi,198
,,,Yevpatoriiskyi,198
,,,Novhorod-Siverskyi,198
,,,Pavlohradskyi,198
,,,Kamianskyi,198
,,,Dniprovskyi,198
,,,Nikopolskyi,198
,,,Synelnykivskyi,198
,,,Kryvorizkyi,198
,,,Mariupolskyi,198
,,,Kalmiuskyi,198
,,,Donetskyi,198
,,,Horlivskyi,198
,,,Volnovaskyi,198
,,,Bakhmutskyi,198
,,,Kramatorskyi,198
,,,Pokrovskyi,198
,,,Krasnohradskyi,198
,,,Lozivskyi,198
,,,Bohodukhivskyi,198
,,,Iziumskyi,198
,,,Kupianskyi,198
,,,Chuhuivskyi,198
,,,Kharkivskyi,198
,,,Henicheskyi,198
,,,Skadovskyi,198
,,,Kakhovskyi,198
,,,Khersonskyi,198
,,,Beryslavskyi,198
,,,Dovzhanskyi,198
,,,Luhanskyi,198
,,,Rovenkivskyi,198
,,,Shchastynskyi,198
,,,Alchevskyi,198
,,,Starobilskyi,198
,,,Svativskyi,198
,,,Sievierodonetskyi,198
,,,Voznesenskyi,198
,,,Bashtanskyi,198
,,,Mykolaivskyi,198
,,,Shostkynskyi,198
,,,Sumskyi,198
,,,Berdianskyi,198
,,,Melitopolskyi,198
,,,Vasylivskyi,198
,,,Zaporizkyi,198
,,,Polohivskyi,198
,,,Nizhynskyi,165
,,,Prylutskyi,165
,,,Koriukivskyi,165
,,,Chernihivskyi,165
,,,Boryspilskyi,165
,,,Bilotserkivskyi,165
,,,Fastivskyi,165
,,,Brovarskyi,165
,,,Vyshhorodskyi,165
,,,Obukhivskyi,165
,,,Buchanskyi,165
,,,Romenskyi,165
,,,Okhtyrskyi,165
,,,Konotopskyi,165
,,,Kyivska,90
,,,Chornobylskazonavidchuzhennia,90
,,,Bilhorod-Dnistrovskyi,90
,,,Odeskyi,90
,,,Zolotoniskyi,60
,,,Umanskyi,60
,,,Cherkaskyi,60
,,,Dnistrovskyi,60
,,,Ivano-Frankivskyi,60
,,,Shepetivskyi,60
,,,Khmelnytskyi,60
,,,Lvivskyi,60
,,,Pervomaiskyi,60
,,,Izmailskyi,60
,,,Berezivskyi,60
,,,Kremenchutskyi,60
,,,Poltavskyi,60
,,,Myrhorodskyi,60
,,,Sarnenskyi,60
,,,Dubenskyi,60
,,,Rivnenskyi,60
,,,Chortkivskyi,60
,,,Ternopilskyi,60
,,,Haisynskyi,60
,,,Vinnytskyi,60
,,,Lutskyi,60
,,,Kovelskyi,60
,,,Zhytomyrskyi,60
,,,Novomoskovskyi,45
,,,Nadvirnianskyi,45
,,,Kaluskyi,45
,,,Kolomyiskyi,45
,,,Kamianets-Podilskyi,45
,,,Holovanivskyi,45
,,,Kropyvnytskyi,45
,,,Oleksandriiskyi,45
,,,Drohobytskyi,45
,,,Chervonohradskyi,45
,,,Sambirskyi,45
,,,Yavorivskyi,45
,,,Zolochivskyi,45
,,,Stryiskyi,45
,,,Khmilnytskyi,45
,,,Mohyliv-Podilskyi,45
,,,Zhmerynskyi,45
,,,Mukachivskyi,45
,,,Uzhhorodskyi,45
,,,Novohrad-Volynskyi,45
,,,Korostenskyi,45
,,,Zvenyhorodskyi,36
,,,Cnernivetskyi,36
,,,Vyzhnytskyi,36
,,,Kosivskyi,36
,,,Verkhovynskyi,36
,,,Novoukrainskyi,36
,,,Bolhradskyi,36
,,,Podilskyi,36
,,,Rozdilnianskyi,36
,,,Lubenskyi,36
,,,Varaskyi,36
,,,Sevastopilska,36
,,,Kremenetskyi,36
,,,Tulchynskyi,36
,,,Kamin-Kashyrskyi,36
,,,Volodymyr-Volynskyi,36
,,,Berehivskyi,36
,,,Khustskyi,36
,,,Rakhivskyi,36
,,,Tiachivskyi,36
,,,Berdychivskyi,36
,,,,
countrySpecific,Living status,Living status,hosted,34
,,,rented unpaid,44
,,,collective shelter,88
,,,damaged house,120
,,,homeless,148
,,,,
computedValue,numberOfChildrenInHousehold,Number of children in the HH,1,49
,,,2,99
,,,x >= 3,148
,,,,
computedValue,incomePerMember,Income,x < 5400,6
,,,,
calculation,vulnerabilityCriterion,Vulnerability Solo parent,soloParent,14
,,,,
calculation,vulnerabilityCriterion,Vulnerability Pregnant,pregnant,1
,,,,
countrySpecific,Disabled,Disabled,Severe functional limitation,1
,,,A lot of functional limitation,1
,,,,
countrySpecific,Elderly,Elderly,Elderly,1
,,,,
